# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
32014	48	1.00000	0.00000	0.00000	0.98574	0.00693	0.00071	0.02852	0.02771	0.00142	0.97148	0.02771	0.00142	0.01426	0.00693	0.00071	0.98574	0.00693	0.00071	0.02852	0.02771	0.00142	0.00000	0.00000	0.00000
32022	64	1.00000	0.00000	0.00000	0.98440	0.00756	0.00074	0.03120	0.03023	0.00149	0.96880	0.03023	0.00149	0.01560	0.00756	0.00074	0.98440	0.00756	0.00074	0.03120	0.03023	0.00149	0.00000	0.00000	0.00000
32023	43	1.00000	0.00000	0.00000	0.98589	0.00686	0.00072	0.02822	0.02743	0.00144	0.97178	0.02743	0.00144	0.01411	0.00686	0.00072	0.98589	0.00686	0.00072	0.02822	0.02743	0.00144	0.00000	0.00000	0.00000
32024	49	1.00000	0.00000	0.00000	0.98411	0.00769	0.00075	0.03178	0.03077	0.00149	0.96822	0.03077	0.00149	0.01589	0.00769	0.00075	0.98411	0.00769	0.00075	0.03178	0.03077	0.00149	0.00000	0.00000	0.00000
32054	55	1.00000	0.00000	0.00000	0.98275	0.00833	0.00078	0.03451	0.03332	0.00155	0.96549	0.03332	0.00155	0.01725	0.00833	0.00078	0.98275	0.00833	0.00078	0.03451	0.03332	0.00155	0.00000	0.00000	0.00000
32075	135	1.00000	0.00000	0.00000	0.99113	0.00436	0.00057	0.01775	0.01743	0.00113	0.98225	0.01743	0.00113	0.00887	0.00436	0.00057	0.99113	0.00436	0.00057	0.01775	0.01743	0.00113	0.00000	0.00000	0.00000
32770	75	1.00000	0.00000	0.00000	0.99514	0.00241	0.00042	0.00971	0.00962	0.00085	0.99029	0.00962	0.00085	0.00486	0.00241	0.00042	0.99514	0.00241	0.00042	0.00971	0.00962	0.00085	0.00000	0.00000	0.00000
32835	15	1.00000	0.00000	0.00000	0.99600	0.00199	0.00039	0.00800	0.00794	0.00077	0.99200	0.00794	0.00077	0.00400	0.00199	0.00039	0.99600	0.00199	0.00039	0.00800	0.00794	0.00077	0.00000	0.00000	0.00000
32846	22	1.00000	0.00000	0.00000	0.99514	0.00240	0.00042	0.00971	0.00962	0.00084	0.99029	0.00962	0.00084	0.00486	0.00240	0.00042	0.99514	0.00240	0.00042	0.00971	0.00962	0.00084	0.00000	0.00000	0.00000
32860	21	1.00000	0.00000	0.00000	0.99528	0.00234	0.00042	0.00944	0.00935	0.00083	0.99056	0.00935	0.00083	0.00472	0.00234	0.00042	0.99528	0.00234	0.00042	0.00944	0.00935	0.00083	0.00000	0.00000	0.00000
33756	8	1.00000	0.00000	0.00000	0.99370	0.00311	0.00047	0.01259	0.01243	0.00095	0.98741	0.01243	0.00095	0.00630	0.00311	0.00047	0.99370	0.00311	0.00047	0.01259	0.01243	0.00095	0.00000	0.00000	0.00000
33757	6	1.00000	0.00000	0.00000	0.99392	0.00300	0.00047	0.01216	0.01201	0.00093	0.98784	0.01201	0.00093	0.00608	0.00300	0.00047	0.99392	0.00300	0.00047	0.01216	0.01201	0.00093	0.00000	0.00000	0.00000
33759	6	1.00000	0.00000	0.00000	0.99446	0.00274	0.00044	0.01107	0.01095	0.00089	0.98893	0.01095	0.00089	0.00554	0.00274	0.00044	0.99446	0.00274	0.00044	0.01107	0.01095	0.00089	0.00000	0.00000	0.00000
33760	25	1.00000	0.00000	0.00000	0.99236	0.00376	0.00053	0.01528	0.01505	0.00106	0.98472	0.01505	0.00106	0.00764	0.00376	0.00053	0.99236	0.00376	0.00053	0.01528	0.01505	0.00106	0.00000	0.00000	0.00000
33789	8	1.00000	0.00000	0.00000	0.99375	0.00308	0.00047	0.01249	0.01234	0.00094	0.98751	0.01234	0.00094	0.00625	0.00308	0.00047	0.99375	0.00308	0.00047	0.01249	0.01234	0.00094	0.00000	0.00000	0.00000
33790	9	1.00000	0.00000	0.00000	0.99422	0.00286	0.00045	0.01156	0.01143	0.00091	0.98844	0.01143	0.00091	0.00578	0.00286	0.00045	0.99422	0.00286	0.00045	0.01156	0.01143	0.00091	0.00000	0.00000	0.00000
33822	16	1.00000	0.00000	0.00000	0.99312	0.00339	0.00049	0.01376	0.01357	0.00099	0.98624	0.01357	0.00099	0.00688	0.00339	0.00049	0.99312	0.00339	0.00049	0.01376	0.01357	0.00099	0.00000	0.00000	0.00000
33832	15	1.00000	0.00000	0.00000	0.99302	0.00344	0.00050	0.01395	0.01376	0.00100	0.98605	0.01376	0.00100	0.00698	0.00344	0.00050	0.99302	0.00344	0.00050	0.01395	0.01376	0.00100	0.00000	0.00000	0.00000
33842	8	1.00000	0.00000	0.00000	0.99366	0.00313	0.00048	0.01268	0.01252	0.00097	0.98732	0.01252	0.00097	0.00634	0.00313	0.00048	0.99366	0.00313	0.00048	0.01268	0.01252	0.00097	0.00000	0.00000	0.00000
33871	15	1.00000	0.00000	0.00000	0.99361	0.00315	0.00048	0.01278	0.01261	0.00095	0.98722	0.01261	0.00095	0.00639	0.00315	0.00048	0.99361	0.00315	0.00048	0.01278	0.01261	0.00095	0.00000	0.00000	0.00000
33905	30	1.00000	0.00000	0.00000	0.99111	0.00437	0.00056	0.01779	0.01747	0.00112	0.98221	0.01747	0.00112	0.00889	0.00437	0.00056	0.99111	0.00437	0.00056	0.01779	0.01747	0.00112	0.00000	0.00000	0.00000
33906	26	1.00000	0.00000	0.00000	0.99197	0.00395	0.00053	0.01607	0.01581	0.00107	0.98393	0.01581	0.00107	0.00803	0.00395	0.00053	0.99197	0.00395	0.00053	0.01607	0.01581	0.00107	0.00000	0.00000	0.00000
34840	37	1.00000	0.00000	0.00000	0.98640	0.00661	0.00070	0.02720	0.02646	0.00140	0.97280	0.02646	0.00140	0.01360	0.00661	0.00070	0.98640	0.00661	0.00070	0.02720	0.02646	0.00140	0.00000	0.00000	0.00000
34848	32	1.00000	0.00000	0.00000	0.98738	0.00615	0.00069	0.02525	0.02461	0.00138	0.97475	0.02461	0.00138	0.01262	0.00615	0.00069	0.98738	0.00615	0.00069	0.02525	0.02461	0.00138	0.00000	0.00000	0.00000
34855	55	1.00000	0.00000	0.00000	0.98477	0.00738	0.00073	0.03046	0.02953	0.00146	0.96954	0.02953	0.00146	0.01523	0.00738	0.00073	0.98477	0.00738	0.00073	0.03046	0.02953	0.00146	0.00000	0.00000	0.00000
34862	34	1.00000	0.00000	0.00000	0.98492	0.00731	0.00073	0.03017	0.02926	0.00146	0.96983	0.02926	0.00146	0.01508	0.00731	0.00073	0.98492	0.00731	0.00073	0.03017	0.02926	0.00146	0.00000	0.00000	0.00000
34865	38	1.00000	0.00000	0.00000	0.98562	0.00699	0.00071	0.02877	0.02794	0.00142	0.97123	0.02794	0.00142	0.01438	0.00699	0.00071	0.98562	0.00699	0.00071	0.02877	0.02794	0.00142	0.00000	0.00000	0.00000
34870	53	1.00000	0.00000	0.00000	0.98456	0.00748	0.00074	0.03087	0.02992	0.00147	0.96913	0.02992	0.00147	0.01544	0.00748	0.00074	0.98456	0.00748	0.00074	0.03087	0.02992	0.00147	0.00000	0.00000	0.00000
34953	31	1.00000	0.00000	0.00000	0.99487	0.00254	0.00043	0.01025	0.01015	0.00087	0.98975	0.01015	0.00087	0.00513	0.00254	0.00043	0.99487	0.00254	0.00043	0.01025	0.01015	0.00087	0.00000	0.00000	0.00000
34969	35	1.00000	0.00000	0.00000	0.99490	0.00252	0.00043	0.01019	0.01009	0.00087	0.98981	0.01009	0.00087	0.00510	0.00252	0.00043	0.99490	0.00252	0.00043	0.01019	0.01009	0.00087	0.00000	0.00000	0.00000
35042	27	1.00000	0.00000	0.00000	0.99555	0.00221	0.00040	0.00890	0.00882	0.00081	0.99110	0.00882	0.00081	0.00445	0.00221	0.00040	0.99555	0.00221	0.00040	0.00890	0.00882	0.00081	0.00000	0.00000	0.00000
36072	17	1.00000	0.00000	0.00000	0.99133	0.00426	0.00056	0.01734	0.01704	0.00111	0.98266	0.01704	0.00111	0.00867	0.00426	0.00056	0.99133	0.00426	0.00056	0.01734	0.01704	0.00111	0.00000	0.00000	0.00000
36076	26	1.00000	0.00000	0.00000	0.99167	0.00410	0.00054	0.01666	0.01638	0.00109	0.98334	0.01638	0.00109	0.00833	0.00410	0.00054	0.99167	0.00410	0.00054	0.01666	0.01638	0.00109	0.00000	0.00000	0.00000
36094	25	1.00000	0.00000	0.00000	0.99112	0.00436	0.00056	0.01775	0.01744	0.00112	0.98225	0.01744	0.00112	0.00888	0.00436	0.00056	0.99112	0.00436	0.00056	0.01775	0.01744	0.00112	0.00000	0.00000	0.00000
36095	11	1.00000	0.00000	0.00000	0.99300	0.00345	0.00050	0.01400	0.01381	0.00101	0.98600	0.01381	0.00101	0.00700	0.00345	0.00050	0.99300	0.00345	0.00050	0.01400	0.01381	0.00101	0.00000	0.00000	0.00000
36096	18	1.00000	0.00000	0.00000	0.99023	0.00479	0.00059	0.01955	0.01916	0.00118	0.98045	0.01916	0.00118	0.00977	0.00479	0.00059	0.99023	0.00479	0.00059	0.01955	0.01916	0.00118	0.00000	0.00000	0.00000
36105	21	1.00000	0.00000	0.00000	0.99097	0.00443	0.00056	0.01806	0.01774	0.00113	0.98194	0.01774	0.00113	0.00903	0.00443	0.00056	0.99097	0.00443	0.00056	0.01806	0.01774	0.00113	0.00000	0.00000	0.00000
