Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
70000	-7310.406459832702	-7296.076028822529	-14.330431010173115	0.29461376024766084	3.910736444313752	0.0010939191835621876
72500	-7305.667793959903	-7290.7294188674905	-14.938375092412336	0.2091809988061599	4.293180226322963	0.0015557501585122928
75000	-7303.814217115072	-7289.233978736939	-14.580238378133139	0.22052003170851314	3.754463395030727	0.0014562735814648798
77500	-7310.327989393045	-7294.795867873683	-15.532121519361322	0.34052707373838953	4.23263061684645	0.0017579019644267397
80000	-7313.438439782247	-7293.312940438041	-20.125499344206425	0.20707549765729724	5.857559688053854	7.593331734278119E-4
82500	-7315.406751859907	-7300.033424023323	-15.373327836583872	0.32563470446872195	4.438410915101843	9.378275857291986E-4
85000	-7306.338908325745	-7292.401235353769	-13.937672971976351	0.3881856662633445	3.2264185918765445	0.0013820835447381518
87500	-7312.536551698073	-7297.129056974008	-15.40749472406473	0.2486890645787356	4.632025172821045	0.0014672427785305617
90000	-7307.938559354389	-7292.157102791064	-15.781456563325008	0.39367941716840027	4.331841626386334	0.001124493060408331
92500	-7307.136030638495	-7291.9998014864	-15.136229152094653	0.19817327265392712	4.000561849468358	0.001081122154342779
95000	-7309.580956014266	-7294.826813048845	-14.754142965420805	0.42860613626594674	3.7765971640512013	0.0012334919764118548
97500	-7306.960802042324	-7292.236531103377	-14.724270938946482	0.31181753358861336	3.783079804159681	0.0016983159944200913
100000	-7307.718037415104	-7292.0518776462695	-15.66615976883402	0.22084592210568393	4.657463482042707	9.695916090675013E-4
102500	-7310.143515177454	-7294.26409610543	-15.879419072023893	0.16680444585685164	3.810831593677669	0.00190206075210197
105000	-7313.068374970323	-7297.167379431734	-15.90099553858925	0.26564415921811185	4.2042853149925055	0.0014467947644721472
107500	-7305.814372197101	-7290.471064468294	-15.343307728806973	0.26793133898514593	4.332534804962464	0.0013024427515007048
110000	-7305.837347527994	-7289.891728517073	-15.945619010920945	0.15723176143243267	4.522424611605195	9.965189874306423E-4
112500	-7308.403288907549	-7293.153560457623	-15.249728449925804	0.43831394571743804	3.4821727230915602	0.0021254423942118064
115000	-7304.086526641452	-7289.791234078335	-14.29529256311706	0.2590097812506114	3.658413804655714	0.0017327433965051069
117500	-7306.64691942717	-7292.137876469912	-14.509042957258695	0.4365544197121205	3.2332267430181676	0.0016944211957100148
120000	-7305.40157346741	-7290.310938813526	-15.090634653884177	0.3702800214266172	3.9029936076650493	0.0015773065760665437
122500	-7305.351402892962	-7290.433133063394	-14.918269829568047	0.44502616726326943	3.5028284931977827	0.0014517676095437205
