Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
85000	-7454.867808775415	-7439.923327762958	-14.944481012456647	0.3397724445717883	2.711997451612625	0.0026403921580170366
87500	-7455.855711523036	-7440.693899964601	-15.161811558435389	0.22380776593643048	4.108151403634175	0.001810644867259261
90000	-7452.917649658749	-7438.2593276227735	-14.658322035974965	0.3363839522039352	3.7939793808136253	0.0016553303169234489
92500	-7455.17696567047	-7440.3886149729615	-14.788350697508216	0.2967426513041928	3.3957617299614	0.0022308861535696085
95000	-7458.54065584264	-7439.890822144397	-18.649833698243153	0.18667985249138425	5.104083554220839	0.0014731502372936365
97500	-7452.500752931121	-7437.710625157575	-14.790127773545118	0.21573648859761713	3.9136704005797647	0.0012323532686996635
100000	-7451.865398866987	-7436.817239209855	-15.04815965713206	0.25537008638816405	4.055430960128857	0.0014954534798500378
102500	-7452.450085415767	-7436.183992817249	-16.26609259851709	0.14336579571639696	4.295517527531383	0.001307542954585999
105000	-7459.0436724206365	-7442.393137255338	-16.65053516529905	0.2395049489914299	5.287863330022329	0.0010355430764467629
107500	-7453.833997306061	-7439.184050862373	-14.649946443688254	0.3620619873069045	3.749592433726814	0.0016460313362130269
110000	-7455.5786580875665	-7438.4977215377585	-17.080936549808165	0.18256278107064658	4.871238021690881	0.0013916079592779238
112500	-7453.144823183326	-7438.934994787464	-14.20982839586102	0.24852903180070632	3.5644664363959238	0.001388026118591997
115000	-7453.528634852897	-7439.031730932421	-14.496903920476218	0.37815204405509945	3.3759447584062987	0.001535459262338161
117500	-7457.073494892873	-7442.060578284519	-15.012916608354315	0.20003470004628793	4.22209586652974	0.00146137504787804
120000	-7454.936669098836	-7441.438563171672	-13.498105927163888	0.30889989666004225	3.379412785978265	0.001229432042971299
122500	-7454.867820060115	-7438.285338964249	-16.582481095866484	0.3916627928337707	4.4931336092853975	0.001172759541021247
